contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY260227C00420000,2026-01-15 15:11:05+00:00,420.0,275.85,270.05,272.83,0.0,0.0,6.0,13,0.9641116870117188,True,REGULAR,USD,call
SPY260227C00425000,2026-02-02 14:43:36+00:00,425.0,268.14,265.05,267.84,0.0,0.0,3.0,14,0.9445806323242187,True,REGULAR,USD,call
SPY260227C00435000,2026-01-20 14:51:19+00:00,435.0,251.65,255.08,257.87,0.0,0.0,20.0,24,0.9091805957031249,True,REGULAR,USD,call
SPY260227C00445000,2026-01-14 19:34:20+00:00,445.0,245.58,245.13,247.9,0.0,0.0,2.0,1,0.8754895263671875,True,REGULAR,USD,call
SPY260227C00450000,2026-01-20 16:21:55+00:00,450.0,236.02,240.13,242.89,0.0,0.0,1.0,13,0.8549819189453125,True,REGULAR,USD,call
SPY260227C00470000,2025-11-18 14:54:26+00:00,470.0,197.4,221.32,224.83,0.0,0.0,5.0,5,0.9300544104003907,True,REGULAR,USD,call
SPY260227C00480000,2026-02-06 19:36:34+00:00,480.0,210.37,210.22,213.01,0.5499878,0.2621236,2.0,1,0.7543969873046875,True,REGULAR,USD,call
SPY260227C00485000,2025-11-14 16:56:55+00:00,485.0,196.05,206.49,209.36,0.0,0.0,1.0,2,0.8549819189453125,True,REGULAR,USD,call
SPY260227C00495000,2025-11-05 15:18:54+00:00,495.0,189.6,196.35,199.45,0.0,0.0,3.0,0,0.8117694604492187,True,REGULAR,USD,call
SPY260227C00500000,2026-02-06 19:37:59+00:00,500.0,190.72,191.41,191.92,2.800003,1.4899974,1.0,480,0.6860382958984376,True,REGULAR,USD,call
SPY260227C00505000,2026-02-06 15:12:00+00:00,505.0,181.51,185.31,188.09,-10.710007,-5.5717444,1.0,2,0.6715120739746094,True,REGULAR,USD,call
SPY260227C00510000,2026-02-05 20:42:22+00:00,510.0,170.94,180.32,183.11,0.0,0.0,2.0,32,0.6549106774902345,True,REGULAR,USD,call
SPY260227C00515000,2026-02-06 19:14:12+00:00,515.0,175.29,175.34,178.13,-1.800003,-1.0164341,1.0,3,0.6387975573730469,True,REGULAR,USD,call
SPY260227C00520000,2026-02-02 18:43:11+00:00,520.0,178.13,170.36,173.14,0.0,0.0,1.0,11,0.6223182299804688,True,REGULAR,USD,call
SPY260227C00525000,2026-01-29 18:23:57+00:00,525.0,167.69,166.5,167.0,0.0,0.0,175.0,177,0.6043740734863283,True,REGULAR,USD,call
SPY260227C00530000,2026-02-03 14:36:00+00:00,530.0,168.16,161.52,162.03,0.0,0.0,1.0,183,0.5888712988281251,True,REGULAR,USD,call
SPY260227C00535000,2026-01-27 15:51:53+00:00,535.0,163.4,155.42,158.21,0.0,0.0,1.0,22,0.5745892150878906,True,REGULAR,USD,call
SPY260227C00540000,2026-01-27 17:57:45+00:00,540.0,158.01,150.44,153.22,0.0,0.0,1.0,5,0.5581098876953126,True,REGULAR,USD,call
SPY260227C00545000,2026-02-03 17:50:19+00:00,545.0,145.06,145.46,148.25,0.0,0.0,1.0,3,0.5426071130371095,True,REGULAR,USD,call
SPY260227C00550000,2026-02-06 15:16:43+00:00,550.0,135.2,141.61,142.12,6.199997,4.806199,1.0,1689,0.5257615783691407,True,REGULAR,USD,call
SPY260227C00555000,2026-02-04 17:27:02+00:00,555.0,131.77,135.51,138.3,0.0,0.0,1.0,7,0.5113574255371094,True,REGULAR,USD,call
SPY260227C00560000,2026-01-30 15:20:30+00:00,560.0,135.14,131.66,132.17,0.0,0.0,3.0,373,0.5122119091796875,True,REGULAR,USD,call
SPY260227C00565000,2026-01-30 16:54:47+00:00,565.0,128.54,125.57,128.36,0.0,0.0,1.0,5,0.5594526477050781,True,REGULAR,USD,call
SPY260227C00570000,2026-02-05 14:30:01+00:00,570.0,113.09,120.6,123.39,0.0,0.0,1.0,36,0.5413253875732424,True,REGULAR,USD,call
SPY260227C00575000,2026-02-03 16:10:02+00:00,575.0,119.04,116.75,117.26,0.0,0.0,1.0,303,0.46411668701171876,True,REGULAR,USD,call
SPY260227C00580000,2026-02-06 19:54:07+00:00,580.0,111.21,111.79,112.3,10.599998,10.53573,40.0,501,0.44861391235351555,True,REGULAR,USD,call
SPY260227C00581000,2026-02-06 19:54:07+00:00,581.0,110.23,109.68,112.47,-2.2199936,-1.9742051,40.0,76,0.5021412091064454,True,REGULAR,USD,call
SPY260227C00582000,2026-02-02 14:42:25+00:00,582.0,112.65,108.69,111.47,0.0,0.0,2.0,4,0.49823499816894534,True,REGULAR,USD,call
SPY260227C00583000,2026-01-30 15:42:15+00:00,583.0,112.95,107.7,110.48,0.0,0.0,2.0,29,0.4947560290527344,True,REGULAR,USD,call
