contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY260417C00300000,2026-02-12 14:42:31+00:00,300.0,396.14,384.1,386.9,0.0,0.0,,1,0.9697268652343749,True,REGULAR,USD,call
SPY260417C00325000,2026-01-29 20:13:12+00:00,325.0,368.78,359.2,361.99,0.0,0.0,,0,0.8947764428710936,True,REGULAR,USD,call
SPY260417C00350000,2026-02-06 18:57:11+00:00,350.0,341.0,334.31,337.11,0.0,0.0,2.0,2,0.825929475097656,True,REGULAR,USD,call
SPY260417C00360000,2026-02-11 15:23:28+00:00,360.0,332.82,324.36,327.16,0.0,0.0,1.0,88,0.7995625512695312,True,REGULAR,USD,call
SPY260417C00365000,2026-02-11 17:31:44+00:00,365.0,329.95,319.38,322.18,0.0,0.0,1.0,1,0.7861349511718749,True,REGULAR,USD,call
SPY260417C00380000,2026-01-21 19:27:40+00:00,380.0,305.2,304.46,307.25,0.0,0.0,,1,0.7475611181640626,True,REGULAR,USD,call
SPY260417C00385000,2026-01-30 18:05:53+00:00,385.0,307.09,299.49,302.28,0.0,0.0,43.0,20,0.735354208984375,True,REGULAR,USD,call
SPY260417C00390000,2026-01-30 18:06:42+00:00,390.0,302.25,294.52,297.31,0.0,0.0,21.0,20,0.7232693688964844,True,REGULAR,USD,call
SPY260417C00395000,2026-02-06 19:55:28+00:00,395.0,296.51,289.55,292.33,0.0,0.0,2.0,0,0.7106962524414062,True,REGULAR,USD,call
SPY260417C00400000,2026-01-16 17:09:07+00:00,400.0,295.67,284.58,287.36,0.0,0.0,2.0,4,0.6987334814453126,True,REGULAR,USD,call
SPY260417C00405000,2026-02-06 18:50:26+00:00,405.0,286.61,279.61,282.4,0.0,0.0,2.0,1,0.6871369177246094,True,REGULAR,USD,call
SPY260417C00420000,2026-02-06 18:48:56+00:00,420.0,271.65,264.71,267.49,0.0,0.0,12.0,30,0.6518589501953126,True,REGULAR,USD,call
SPY260417C00425000,2026-02-06 18:40:55+00:00,425.0,266.55,259.75,262.53,0.0,0.0,2.0,2,0.6407506628417969,True,REGULAR,USD,call
SPY260417C00430000,2026-02-19 17:34:43+00:00,430.0,255.47,254.79,257.57,1.1499939,0.4521838,1.0,3,0.6296423754882813,True,REGULAR,USD,call
SPY260417C00440000,2026-02-19 15:13:25+00:00,440.0,246.59,244.87,247.66,3.7599945,1.5484061,6.0,9,0.6079140771484376,True,REGULAR,USD,call
SPY260417C00445000,2026-02-06 18:40:19+00:00,445.0,246.64,239.91,242.69,0.0,0.0,2.0,1,0.5965616516113281,True,REGULAR,USD,call
SPY260417C00450000,2026-02-03 17:05:05+00:00,450.0,243.28,234.96,237.74,0.0,0.0,,0,0.5860637097167969,True,REGULAR,USD,call
SPY260417C00455000,2026-02-05 20:21:03+00:00,455.0,226.31,230.0,232.8,0.0,0.0,,3,0.5755657678222657,True,REGULAR,USD,call
SPY260417C00460000,2026-02-13 20:14:46+00:00,460.0,224.4,225.05,227.83,0.0,0.0,1.0,2,0.564579549560547,True,REGULAR,USD,call
SPY260417C00470000,2026-02-06 19:17:02+00:00,470.0,221.47,215.15,217.94,0.0,0.0,2.0,9,0.5437667694091797,True,REGULAR,USD,call
SPY260417C00480000,2026-02-13 20:31:55+00:00,480.0,204.79,205.27,208.07,0.0,0.0,2.0,8,0.5238084729003907,True,REGULAR,USD,call
SPY260417C00485000,2026-02-13 20:20:15+00:00,485.0,199.91,200.33,203.12,0.0,0.0,2.0,2,0.5134326000976561,True,REGULAR,USD,call
SPY260417C00490000,2026-02-05 19:12:50+00:00,490.0,193.88,195.39,198.19,0.0,0.0,,9,0.503483969116211,True,REGULAR,USD,call
SPY260417C00500000,2026-02-13 20:20:27+00:00,500.0,185.75,185.53,188.33,0.0,0.0,2.0,28,0.5339402075195312,True,REGULAR,USD,call
SPY260417C00505000,2026-02-06 18:40:36+00:00,505.0,187.44,180.6,183.39,0.0,0.0,2.0,1,0.5221605401611327,True,REGULAR,USD,call
SPY260417C00520000,2026-02-13 14:40:53+00:00,520.0,167.49,165.85,168.65,5.01001,3.0834625,1.0,5,0.4891408508300782,True,REGULAR,USD,call
SPY260417C00525000,2026-02-18 15:54:02+00:00,525.0,166.02,160.95,163.75,0.0,0.0,1.0,2,0.47839877075195314,True,REGULAR,USD,call
SPY260417C00530000,2026-02-19 17:57:40+00:00,530.0,155.71,156.06,158.85,-1.6599884,-1.0548316,1.0,3,0.46759565612792964,True,REGULAR,USD,call
SPY260417C00535000,2026-02-09 15:37:47+00:00,535.0,161.91,151.17,153.96,0.0,0.0,1.0,2,0.45703667968750006,True,REGULAR,USD,call
SPY260417C00540000,2026-02-12 15:11:22+00:00,540.0,155.88,146.28,149.07,0.0,0.0,2.0,3,0.44635563415527346,True,REGULAR,USD,call
SPY260417C00545000,2026-02-18 19:44:41+00:00,545.0,144.43,141.41,144.21,0.0,0.0,4.0,5,0.4363459686279296,True,REGULAR,USD,call
SPY260417C00550000,2026-02-12 17:14:45+00:00,550.0,137.85,136.55,139.34,0.0,0.0,1.0,11,0.4259700958251954,True,REGULAR,USD,call
SPY260417C00555000,2026-02-18 15:53:55+00:00,555.0,136.56,131.69,134.48,0.0,0.0,4.0,10,0.41571629211425776,True,REGULAR,USD,call
SPY260417C00560000,2026-02-17 16:19:49+00:00,560.0,125.09,126.85,129.65,0.0,0.0,3.0,116,0.40601179931640624,True,REGULAR,USD,call
