contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY260422C00600000,2026-04-13 14:14:49+00:00,600.0,79.73,105.23,108.03,0.0,0.0,,6.0,1.5195336523437497,True,REGULAR,USD,call
SPY260422C00628000,2026-04-14 13:42:39+00:00,628.0,61.98,77.24,80.03,0.0,0.0,,1.0,1.175541231689453,True,REGULAR,USD,call
SPY260422C00630000,2026-04-21 20:13:18+00:00,630.0,77.12,75.24,78.03,24.910004,47.711178,2.0,0.0,1.1508831518554685,True,REGULAR,USD,call
SPY260422C00635000,2026-04-20 18:12:24+00:00,635.0,73.1,70.24,73.04,0.0,0.0,1.0,3.0,1.08984830078125,True,REGULAR,USD,call
SPY260422C00637000,2026-04-20 18:11:43+00:00,637.0,71.16,68.24,71.04,0.0,0.0,2.0,2.0,1.0649460815429688,True,REGULAR,USD,call
SPY260422C00639000,2026-04-21 19:58:16+00:00,639.0,65.1,66.24,69.03,-4.0200043,-5.815978,8.0,8.0,1.0395555834960941,True,REGULAR,USD,call
SPY260422C00640000,2026-04-20 19:30:32+00:00,640.0,68.18,65.24,68.03,0.0,0.0,2.0,3.0,1.0273486132812502,True,REGULAR,USD,call
SPY260422C00641000,2026-04-13 18:25:41+00:00,641.0,42.53,64.25,67.04,0.0,0.0,40.0,30.0,1.015874061279297,True,REGULAR,USD,call
SPY260422C00645000,2026-04-21 14:42:34+00:00,645.0,65.31,60.25,63.04,16.589996,34.051716,1.0,2.0,0.9660647924804688,True,REGULAR,USD,call
SPY260422C00646000,2026-04-21 14:03:53+00:00,646.0,64.76,59.25,62.04,1.0800018,1.6959828,4.0,5.0,0.9536137451171874,True,REGULAR,USD,call
SPY260422C00647000,2026-04-21 19:30:21+00:00,647.0,60.65,58.25,61.04,-0.5399971,-0.8824924,1.0,2.0,0.9411626977539063,True,REGULAR,USD,call
SPY260422C00648000,2026-04-21 14:35:13+00:00,648.0,63.17,57.25,60.04,1.0499992,1.6902757,2.0,2.0,0.928711650390625,True,REGULAR,USD,call
SPY260422C00649000,2026-04-17 17:18:41+00:00,649.0,62.27,56.25,59.04,0.0,0.0,3.0,2.0,0.916138533935547,True,REGULAR,USD,call
SPY260422C00650000,2026-04-21 19:57:02+00:00,650.0,54.1,55.23,58.04,-4.0600014,-6.980745,184.0,28.0,0.9025888647460938,True,REGULAR,USD,call
SPY260422C00652000,2026-04-20 14:23:28+00:00,652.0,57.29,53.25,56.05,0.0,0.0,1.0,3.0,0.8789074609374999,True,REGULAR,USD,call
SPY260422C00653000,2026-04-21 19:42:19+00:00,653.0,51.51,52.25,55.05,-4.010002,-7.222626,5.0,7.0,0.8664564135742188,True,REGULAR,USD,call
SPY260422C00654000,2026-04-21 17:48:19+00:00,654.0,52.16,51.25,54.05,-1.6899986,-3.1383448,4.0,3.0,0.8537612280273439,True,REGULAR,USD,call
SPY260422C00655000,2026-04-21 14:55:03+00:00,655.0,54.02,50.25,53.05,0.020000458,0.037037883,3.0,5.0,0.8410660424804688,True,REGULAR,USD,call
SPY260422C00656000,2026-04-21 13:58:32+00:00,656.0,54.46,49.25,52.04,1.3799973,2.599844,12.0,2.0,0.8278825805664061,True,REGULAR,USD,call
SPY260422C00657000,2026-04-21 16:57:00+00:00,657.0,48.89,48.25,51.04,-2.8600006,-5.5265713,29.0,2.0,0.8151873950195312,True,REGULAR,USD,call
SPY260422C00658000,2026-04-21 14:02:02+00:00,658.0,52.9,47.24,50.06,0.9300003,1.7894945,4.0,12.0,0.8029804858398437,True,REGULAR,USD,call
SPY260422C00659000,2026-04-21 13:55:41+00:00,659.0,51.43,46.26,49.05,-0.16999817,-0.32945383,15.0,12.0,0.7907735766601562,True,REGULAR,USD,call
SPY260422C00660000,2026-04-21 16:39:54+00:00,660.0,46.4,45.26,48.05,-1.5999985,-3.3333302,66.0,64.0,0.7779563220214845,True,REGULAR,USD,call
SPY260422C00661000,2026-04-21 18:54:33+00:00,661.0,42.88,44.26,47.05,-4.539997,-9.574014,329.0,14.0,0.7651390673828126,True,REGULAR,USD,call
SPY260422C00662000,2026-04-21 18:54:33+00:00,662.0,41.9,43.27,46.05,-4.619999,-9.93121,332.0,39.0,0.7528100891113281,True,REGULAR,USD,call
SPY260422C00663000,2026-04-21 13:42:08+00:00,663.0,46.4,42.26,45.06,0.6500015,1.4207684,2.0,3.0,0.7399928344726561,True,REGULAR,USD,call
SPY260422C00664000,2026-04-21 17:17:43+00:00,664.0,40.72,41.26,44.05,-5.669998,-12.222458,5.0,6.0,0.726565234375,True,REGULAR,USD,call
SPY260422C00665000,2026-04-21 20:12:53+00:00,665.0,42.15,41.41,41.86,-1.1800003,-2.723287,28.0,160.0,0.711916943359375,True,REGULAR,USD,call
SPY260422C00666000,2026-04-21 18:32:31+00:00,666.0,39.41,39.26,42.06,-2.8199997,-6.6777167,19.0,16.0,0.70117486328125,True,REGULAR,USD,call
SPY260422C00667000,2026-04-21 19:12:07+00:00,667.0,40.01,38.26,41.06,-4.450001,-10.008999,9.0,7.0,0.6881134704589844,True,REGULAR,USD,call
SPY260422C00668000,2026-04-21 15:58:34+00:00,668.0,38.89,37.25,40.06,-1.8400002,-4.517555,11.0,42.0,0.6746858703613283,True,REGULAR,USD,call
SPY260422C00669000,2026-04-21 20:11:18+00:00,669.0,37.59,36.26,39.06,-0.6500015,-1.6997948,7.0,30.0,0.6619906848144532,True,REGULAR,USD,call
SPY260422C00670000,2026-04-21 19:59:17+00:00,670.0,34.39,36.41,36.86,-4.130001,-10.721706,28.0,154.0,0.6467320483398438,True,REGULAR,USD,call
SPY260422C00671000,2026-04-21 19:27:26+00:00,671.0,36.62,34.26,37.06,-0.9300003,-2.4766986,62.0,89.0,0.6357458300781251,True,REGULAR,USD,call
SPY260422C00672000,2026-04-21 17:20:41+00:00,672.0,32.0,34.4,34.86,-4.5099983,-12.352776,3.0,101.0,0.6199989172363283,True,REGULAR,USD,call
SPY260422C00673000,2026-04-21 17:09:53+00:00,673.0,32.56,32.26,35.08,4.6900005,16.828133,45.0,64.0,0.6099892517089844,True,REGULAR,USD,call
SPY260422C00674000,2026-04-21 20:08:31+00:00,674.0,29.58,32.42,32.87,-4.2800007,-12.6402855,7.0,149.0,0.5946085461425781,True,REGULAR,USD,call
SPY260422C00675000,2026-04-21 19:33:57+00:00,675.0,32.75,31.41,31.87,-0.36999893,-1.1171466,199.0,592.0,0.5808147387695313,True,REGULAR,USD,call
SPY260422C00676000,2026-04-21 16:06:20+00:00,676.0,31.19,30.41,30.87,-1.4200001,-4.354492,3.0,168.0,0.567387138671875,True,REGULAR,USD,call
SPY260422C00677000,2026-04-21 17:39:42+00:00,677.0,29.29,29.45,29.89,-2.2199993,-7.0453806,23.0,129.0,0.5561567822265626,True,REGULAR,USD,call
SPY260422C00678000,2026-04-21 19:52:34+00:00,678.0,25.62,28.45,28.89,-4.959999,-16.21975,64.0,162.0,0.5426071130371095,True,REGULAR,USD,call
SPY260422C00679000,2026-04-21 16:06:47+00:00,679.0,28.31,27.45,27.9,-1.5500011,-5.1908946,4.0,344.0,0.5293015820312501,True,REGULAR,USD,call
SPY260422C00680000,2026-04-21 19:51:32+00:00,680.0,24.08,26.42,26.88,-4.790001,-16.59162,533.0,370.0,0.5136767382812499,True,REGULAR,USD,call
SPY260422C00681000,2026-04-21 19:38:49+00:00,681.0,25.15,25.44,25.89,-2.0100002,-7.4005904,641.0,415.0,0.5009815527343751,True,REGULAR,USD,call
SPY260422C00682000,2026-04-21 20:06:47+00:00,682.0,21.64,24.46,24.91,-5.5600014,-20.441181,59.0,800.0,0.5045215563964844,True,REGULAR,USD,call
SPY260422C00683000,2026-04-21 19:30:25+00:00,683.0,24.79,23.47,23.92,-1.0999985,-4.248739,28.0,341.0,0.4909718872070313,True,REGULAR,USD,call
SPY260422C00684000,2026-04-21 19:49:14+00:00,684.0,20.09,22.45,22.9,-3.709999,-15.588232,21.0,223.0,0.47522497436523436,True,REGULAR,USD,call
SPY260422C00685000,2026-04-21 20:11:35+00:00,685.0,21.8,21.48,21.92,-1.9000015,-8.016884,230.0,933.0,0.4621635815429688,True,REGULAR,USD,call
SPY260422C00686000,2026-04-21 20:10:51+00:00,686.0,20.44,20.46,20.91,-1.7199993,-7.76173,115.0,535.0,0.44690494506835937,True,REGULAR,USD,call
SPY260422C00687000,2026-04-21 19:49:15+00:00,687.0,17.14,19.5,19.95,-3.8600006,-18.380955,40.0,575.0,0.43469803588867195,True,REGULAR,USD,call
SPY260422C00688000,2026-04-21 19:52:55+00:00,688.0,15.91,18.51,18.94,-5.049999,-24.09351,18.0,460.0,0.41919526123046874,True,REGULAR,USD,call
SPY260422C00689000,2026-04-21 19:52:55+00:00,689.0,14.97,17.53,17.95,-3.2799997,-17.9726,42.0,824.0,0.40479110839843746,True,REGULAR,USD,call
SPY260422C00690000,2026-04-21 20:09:59+00:00,690.0,16.55,16.52,16.99,-2.4500008,-12.894741,762.0,1008.0,0.3920959228515625,True,REGULAR,USD,call
SPY260422C00691000,2026-04-21 20:09:52+00:00,691.0,15.7,15.54,16.16,-1.8499994,-10.541307,154.0,880.0,0.3869690209960937,True,REGULAR,USD,call
SPY260422C00692000,2026-04-21 20:10:24+00:00,692.0,14.88,14.6,15.05,-2.04,-12.056738,193.0,1110.0,0.36463037719726565,True,REGULAR,USD,call
SPY260422C00693000,2026-04-21 20:09:45+00:00,693.0,14.18,13.61,14.06,-1.1499996,-7.5016284,172.0,863.0,0.34924967163085935,True,REGULAR,USD,call
SPY260422C00694000,2026-04-21 20:09:44+00:00,694.0,12.48,12.69,13.3,-2.0200005,-13.931038,296.0,313.0,0.34680828979492184,True,REGULAR,USD,call
SPY260422C00695000,2026-04-21 20:08:25+00:00,695.0,9.39,11.72,12.33,-4.67,-33.214794,366.0,1072.0,0.33179379150390625,True,REGULAR,USD,call
SPY260422C00696000,2026-04-21 20:14:58+00:00,696.0,10.92,10.91,11.12,-2.46,-18.38565,403.0,920.0,0.30322962402343745,True,REGULAR,USD,call
SPY260422C00697000,2026-04-21 20:13:45+00:00,697.0,10.41,9.99,10.2,-1.5,-12.594459,788.0,1012.0,0.29041236938476556,True,REGULAR,USD,call
SPY260422C00698000,2026-04-21 20:09:44+00:00,698.0,8.23,9.09,9.3,-3.1900005,-27.933455,3022.0,912.0,0.27808339111328123,True,REGULAR,USD,call
SPY260422C00699000,2026-04-21 20:09:48+00:00,699.0,9.54,8.22,8.42,-1.0299997,-9.744557,752.0,1631.0,0.2659985510253906,True,REGULAR,USD,call
SPY260422C00700000,2026-04-21 20:14:54+00:00,700.0,7.4,7.36,7.56,-2.5499997,-25.628138,4291.0,1915.0,0.2542188836669922,True,REGULAR,USD,call
SPY260422C00701000,2026-04-21 20:14:45+00:00,701.0,6.75,6.54,6.7,-2.0699997,-23.469385,1726.0,1731.0,0.24146266357421875,True,REGULAR,USD,call
