contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY260423C00630000,2026-04-15 17:12:14+00:00,630.0,67.73,70.03,73.58,0.0,0.0,1,3,0.5227098510742187,True,REGULAR,USD,call
SPY260423C00650000,2026-04-16 15:41:52+00:00,650.0,52.04,50.11,53.7,19.990002,62.3713,2,1,0.41046732116699214,True,REGULAR,USD,call
SPY260423C00660000,2026-04-16 19:58:01+00:00,660.0,42.5,40.19,43.83,6.5200005,18.12118,198,61,0.35559726440429684,True,REGULAR,USD,call
SPY260423C00665000,2026-04-16 15:36:21+00:00,665.0,37.13,35.17,38.83,3.7700005,11.300961,14,4,0.324103438720703,True,REGULAR,USD,call
SPY260423C00670000,2026-04-16 18:41:32+00:00,670.0,31.18,30.29,34.0,2.08,7.147766,4,14,0.29944548217773437,True,REGULAR,USD,call
SPY260423C00675000,2026-04-16 18:23:50+00:00,675.0,26.21,25.46,29.28,1.7999992,7.374024,6,63,0.27735097656249996,True,REGULAR,USD,call
SPY260423C00680000,2026-04-16 19:53:28+00:00,680.0,22.75,21.29,24.56,1.3700008,6.407862,52,871,0.2525709509277344,True,REGULAR,USD,call
SPY260423C00685000,2026-04-16 20:10:33+00:00,685.0,18.14,17.86,18.25,0.79999924,4.6136055,22,1772,0.17023534851074223,True,REGULAR,USD,call
SPY260423C00690000,2026-04-16 19:53:40+00:00,690.0,13.84,13.5,13.88,0.7399998,5.648853,531,480,0.15662464477539065,True,REGULAR,USD,call
SPY260423C00695000,2026-04-16 20:13:31+00:00,695.0,9.64,9.53,9.82,0.31000042,3.3226197,814,919,0.1430749755859375,True,REGULAR,USD,call
SPY260423C00700000,2026-04-16 19:59:32+00:00,700.0,6.37,6.05,6.25,0.73,12.943263,2197,981,0.1299525482177734,True,REGULAR,USD,call
SPY260423C00705000,2026-04-16 20:14:24+00:00,705.0,3.38,3.35,3.38,0.19000006,5.956115,1459,1146,0.117196328125,False,REGULAR,USD,call
SPY260423C00710000,2026-04-16 20:14:16+00:00,710.0,1.51,1.49,1.51,-0.049999952,-3.2051253,2323,843,0.10804114624023436,False,REGULAR,USD,call
SPY260423C00715000,2026-04-16 20:12:19+00:00,715.0,0.53,0.52,0.53,-0.13000005,-19.696978,3452,1084,0.10120527709960936,False,REGULAR,USD,call
SPY260423C00720000,2026-04-16 20:13:04+00:00,720.0,0.14,0.13,0.14,-0.11,-44.0,6460,2176,0.09620044433593751,False,REGULAR,USD,call
SPY260423C00725000,2026-04-16 20:07:50+00:00,725.0,0.04,0.03,0.04,-0.060000002,-60.0,612,1235,0.0971769970703125,False,REGULAR,USD,call
SPY260423C00730000,2026-04-16 20:12:51+00:00,730.0,0.02,0.01,0.02,-0.04,-66.66667,870,473,0.1054776953125,False,REGULAR,USD,call
SPY260423C00735000,2026-04-16 19:57:22+00:00,735.0,0.02,0.01,0.02,-0.01,-33.333336,392,176,0.1211025390625,False,REGULAR,USD,call
SPY260423P00605000,2026-04-16 19:27:17+00:00,605.0,0.03,0.03,0.04,-0.07,-70.0,36,76,0.37305314453125,False,REGULAR,USD,put
SPY260423P00610000,2026-04-16 17:26:27+00:00,610.0,0.05,0.04,0.05,-0.009999998,-16.666662,9,164,0.362311064453125,False,REGULAR,USD,put
SPY260423P00615000,2026-04-16 15:15:17+00:00,615.0,0.05,0.04,0.05,-0.040000003,-44.444447,16,145,0.3437565625,False,REGULAR,USD,put
SPY260423P00620000,2026-04-16 19:41:08+00:00,620.0,0.04,0.05,0.06,-0.060000002,-60.0,44,158,0.331061376953125,False,REGULAR,USD,put
SPY260423P00625000,2026-04-16 19:47:48+00:00,625.0,0.05,0.05,0.06,-0.06999999,-58.333332,55,150,0.31153032226562494,False,REGULAR,USD,put
SPY260423P00630000,2026-04-16 17:54:06+00:00,630.0,0.09,0.06,0.07,-0.019999996,-18.181814,1328,142,0.2978585839843749,False,REGULAR,USD,put
SPY260423P00635000,2026-04-16 18:59:46+00:00,635.0,0.09,0.07,0.08,-0.019999996,-18.181814,36,377,0.28321029296874994,False,REGULAR,USD,put
SPY260423P00640000,2026-04-16 19:40:19+00:00,640.0,0.1,0.08,0.09,-0.04,-28.571428,64,806,0.26709717285156254,False,REGULAR,USD,put
SPY260423P00645000,2026-04-16 16:40:47+00:00,645.0,0.14,0.1,0.11,-0.049999997,-26.315786,16,247,0.25391371093750004,False,REGULAR,USD,put
SPY260423P00650000,2026-04-16 19:47:52+00:00,650.0,0.13,0.11,0.12,-0.09,-40.909092,55,1306,0.23633576171874998,False,REGULAR,USD,put
SPY260423P00655000,2026-04-16 19:28:51+00:00,655.0,0.19,0.14,0.15,-0.09,-32.142857,97,731,0.22266402343749997,False,REGULAR,USD,put
SPY260423P00660000,2026-04-16 20:14:57+00:00,660.0,0.2,0.19,0.2,-0.17999999,-47.368423,313,1098,0.21094539062499998,False,REGULAR,USD,put
SPY260423P00665000,2026-04-16 20:02:15+00:00,665.0,0.27,0.26,0.27,-0.23999998,-47.05882,553,854,0.19873848144531248,False,REGULAR,USD,put
SPY260423P00670000,2026-04-16 20:11:44+00:00,670.0,0.38,0.37,0.38,-0.3,-44.11765,4534,2627,0.187508125,False,REGULAR,USD,put
